k,E0,E1,ΔE,log10_ΔE
1,-3.9999999999999982,-3.4641016151377535,0.5358983848622447,-0.27091755186937877
2,-8.877429589987015,-8.621809893499625,0.2556196964873898,-0.5924056851528571
3,-13.813381733183778,-13.659353096678982,0.1540286365047958,-0.8123985290346478
4,-18.76891450208502,-18.666276564400473,0.10263793768454832,-0.9886920828725937
5,-23.73418892589075,-23.662149347693973,0.07203957819677598,-1.1424288387085417
6,-28.705336871663494,-28.653295303085102,0.05204156857839237,-1.2836496218976579
