k,E0,E1,ΔE,log10_ΔE
1,-6.0,-5.464101615137766,0.5358983848622341,-0.2709175518693874
2,-12.877429589987043,-12.621809893499618,0.25561969648742533,-0.5924056851527967
3,-19.81338173318376,-19.65935309667894,0.1540286365048189,-0.8123985290345828
